id	func	details_en
E6	ID	Logogram or Determinative in ssmt “horse.” Determinative in ibr “stallion.”
E7	D	Determinative in ꜥꜣ “donkey.”
E8	PD	Phonogram ib, “kid.” Determinative in ꜥwt “flocks.”
E9	P	Phonogram iw. In iwr “conceive.”
E10	D	Determinative in bꜣ “ram,” ẖnmw “Khnum,”ꜥwt ḥḏt “white flocks, sheep”
E11	D	Use as E10
E12	D	Determinative in rri “pig.”
E13	D	Determinative in miw “cat.”
E14	D	Determinative in iw “dog,” ṯsm “hound.”
E15	ID	Determinative or Logogram in Inpw, “Anubis.”
E16	ID	Use as E15.
E17	ID	Determinative or Logogram in sꜣb “jackal” and “dignitary.”
E18	ID	Determinative or Logogram in Wp-wꜣwt “Opener of ways, Wepwawet.”
E19	ID	Use as E18
E20	ID	Determinative or Logogram in stẖ, stš “Seth.” Determinative in ẖnnw “turmoil,” shꜣ “confusion.”
E21	D	Determinative in nšni “storm, rage.”
E22	ID	Determinative or Logogram in mꜣi “lion”
E23	PID	Phonogram rw. Determinative or Logogram in rw “lion.”
E24	ID	Determinative or Logogram in ꜣby “panther, leopard.”
E25	D	Determinative in db, dib “hippopotamus.”
E26	ID	Determinative ꜣbw “elephant.” Logogram in ꜣbw “Elephantine.”
E27	ID	Determinative sr “foretell.” Determinative or Ideo in mmi “giraffe.”
E28	D	Determinative in mꜣḥḏ “oryx.”
E29	D	Determinative in gḥs “gazelle.”
E30	D	Determinative in nꜣw, nrꜣw, niꜣ “ibex.”
E31	D	Determinative in sꜥḥ “rank, privilege.”
E32	D	Determinative in iꜥn “baboon,” ky “monkey,” qnd “furious.”
E33	D	Determinative gf, gif “monkey.”
E34	P	Phonogram wn. wnn “be.”
F1	I	Logogram in offering formulas for kꜣ “cattle.”
F2	D	Determinative in ḏnd “rage.”
F3	PID	Phonogram ꜣt. Determinative or Logogram in “moment, attack.”
F4	I	Logogram in ḥꜣt “front,” ḥꜣty “heart.”
F5	PID	Phonogram šsꜣ. Determinative and Logogram in šsꜣ “skilled” and “prayer.”
F6	PID	Use as F5
F7	ID	Determinative in šft “ram’s head.” Determinative or Logogram in šfyt “worth, dignity.”
F8	ID	Use as F7
F9	ID	Determinative or Logogram in pḥty “strength.”
F10	D	Determinative in ḫḫ “throat,” ꜥm “swallow.”
F11	D	Use as F10
F12	PI	Phonogram wsr. Ideo in wsrt “neck.” In wsr “powerful”
F13	PI	Phonogram wp. Logogram in wpt “brow, beginning.”
F14	I	Logogram wpt-rnpt “Opening of the Year.”
F15	I	Use as F14
F16	PID	Phonogram ꜥb. Determinative or Logogram in db “horn,” ꜥb “horn.” In m-ꜥb “together with.”
F17	ID	Determinative or Logogram in ꜥbw “purification.”
F18	PID	Phonogram bḥ, ḥw. Determinative and Logogram in ibḥ “tooth.” Determinative in sbḥ “cry.”
F19	D	Determinative in ꜥrt “jaw.”
F20	PI	Phonogram ns. In ns “tongue.” Logogram in imy-r “overseer.”
F21	PID	Phonogram sḏm, idn. Determinative or Logogram in msḏr “ear. Logogram sḏm, “hear.”
